product_id,product_name,category,product_feature,attribute_changed,winner_variant,winner_value,confidence,n_a,n_b,leaning_variant,leaning_value,n_needed_estimate,recommendation
P004,Milk Chocolate,chocolate,Milk Chocolate_packaging_transparency,packaging_transparency,B,Transparent Product Window,Medium,2,2,B,Transparent Product Window,,"For 'Milk Chocolate_packaging_transparency' — 'Transparent Product Window' outperformed the alternative. Medium confidence — significant on: emotion score (0.15 vs 0.602, p=0.024)."
P024,100% Pure Orange Juice (32oz),beverages,100% Pure Orange Juice (32oz)_price_discount,price_discount,No clear winner,,Low,2,1,B,Rs60 Struck-through Discounted to Rs45,19.0,"'100% Pure Orange Juice (32oz)_price_discount': not statistically significant yet (n_a=2, n_b=1). Currently trending toward 'Rs60 Struck-through Discounted to Rs45' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P010,Aloo Bhujia,namkeen,Aloo Bhujia_packaging_format,packaging_format,No clear winner,,Low,0,0,,,,'Aloo Bhujia_packaging_format': only one variant has data so far — need both A and B represented.
P023,Apple Juice,beverages,Apple Juice_overall_packaging_redesign,overall_packaging_redesign,No clear winner,,Low,2,1,A,Nature's Goodness - Plastic Bottle 500ml From Concentrate,19.0,"'Apple Juice_overall_packaging_redesign': not statistically significant yet (n_a=2, n_b=1). Currently trending toward 'Nature's Goodness - Plastic Bottle 500ml From Concentrate' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P011,Butter Chakli,namkeen,Butter Chakli_packaging_material,packaging_material,No clear winner,,Low,0,0,,,,'Butter Chakli_packaging_material': only one variant has data so far — need both A and B represented.
P003,Cacao Symphony,chocolate,Cacao Symphony_health_claims_badges,health_claims_badges,No clear winner,,Low,1,1,B,With Claims (Less Sugar No Artificial Colors Cocoa Rich),19.0,"'Cacao Symphony_health_claims_badges': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'With Claims (Less Sugar No Artificial Colors Cocoa Rich)' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P005,Choco Candy,chocolate,Choco Candy_price_discount,price_discount,No clear winner,,Low,1,2,B,Rs59 Discounted Price,19.0,"'Choco Candy_price_discount': not statistically significant yet (n_a=1, n_b=2). Currently trending toward 'Rs59 Discounted Price' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P006,Choco Lyra,chocolate,Choco Lyra_packaging_format,packaging_format,No clear winner,,Low,2,2,A,Bar Format,18.0,"'Choco Lyra_packaging_format': not statistically significant yet (n_a=2, n_b=2). Currently trending toward 'Bar Format' — too early to act on. Collect roughly 18 more participant(s) on this test to reach a reliable read."
P007,Cocoa Bliss,chocolate,Cocoa Bliss_pack_format,pack_format,No clear winner,,Low,2,1,B,Six Individually Wrapped Bars,19.0,"'Cocoa Bliss_pack_format': not statistically significant yet (n_a=2, n_b=1). Currently trending toward 'Six Individually Wrapped Bars' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P007,Cocoa Bliss,chocolate,Cocoa Bliss_packaging_finish,packaging_finish,No clear winner,,Low,1,1,A,Matte Finish,19.0,"'Cocoa Bliss_packaging_finish': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Matte Finish' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P008,Dark Choco,chocolate,Dark Choco_background_theme,background_theme,No clear winner,,Low,1,1,A,Natural Rustic Theme (Beige),19.0,"'Dark Choco_background_theme': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Natural Rustic Theme (Beige)' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P017,FreshVibe Peach,beverages,FreshVibe Peach_naming_and_size,naming_and_size,No clear winner,,Low,2,1,A,"Peach Delight, 500ml",19.0,"'FreshVibe Peach_naming_and_size': not statistically significant yet (n_a=2, n_b=1). Currently trending toward 'Peach Delight, 500ml' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P009,Golden Crisp Chips,chips,Golden Crisp Chips_branding_design,branding_design,No clear winner,,Low,1,1,A,Basic Salted Chips (No Branding),19.0,"'Golden Crisp Chips_branding_design': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Basic Salted Chips (No Branding)' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P001,Lemon Bhujia,namkeen,Lemon Bhujia_packaging_format,packaging_format,No clear winner,,Low,1,1,B,Lemon Bhujia Pouch,19.0,"'Lemon Bhujia_packaging_format': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Lemon Bhujia Pouch' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P026,Mango Juice,beverages,Mango Juice_overall_packaging_redesign,overall_packaging_redesign,No clear winner,,Low,0,0,,,,'Mango Juice_overall_packaging_redesign': only one variant has data so far — need both A and B represented.
P014,Masala Wafer,chips,Masala Wafer_color,color,No clear winner,,Low,0,0,,,,'Masala Wafer_color': only one variant has data so far — need both A and B represented.
P002,NeuBisc Biscuits,biscuits,NeuBisc Biscuits_color,color,No clear winner,,Low,5,3,B,Orange Packaging,17.0,"'NeuBisc Biscuits_color': not statistically significant yet (n_a=5, n_b=3). Currently trending toward 'Orange Packaging' — too early to act on. Collect roughly 17 more participant(s) on this test to reach a reliable read."
P002,NeuBisc Biscuits,biscuits,NeuBisc Biscuits_packaging_format,packaging_format,No clear winner,,Low,4,1,B,Choco Chip Cookies Pack,19.0,"'NeuBisc Biscuits_packaging_format': not statistically significant yet (n_a=4, n_b=1). Currently trending toward 'Choco Chip Cookies Pack' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P002,NeuBisc Biscuits,biscuits,NeuBisc Biscuits_product_flavor,product_flavor,No clear winner,,Low,3,2,B,NeuBisc Chocolate Cookies,18.0,"'NeuBisc Biscuits_product_flavor': not statistically significant yet (n_a=3, n_b=2). Currently trending toward 'NeuBisc Chocolate Cookies' — too early to act on. Collect roughly 18 more participant(s) on this test to reach a reliable read."
P002,NeuBisc Biscuits,biscuits,NeuBisc Biscuits_product_imagery_vs_info,product_imagery_vs_info,No clear winner,,Low,4,2,B,With Net Weight 200g Shown (No Photos),18.0,"'NeuBisc Biscuits_product_imagery_vs_info': not statistically significant yet (n_a=4, n_b=2). Currently trending toward 'With Net Weight 200g Shown (No Photos)' — too early to act on. Collect roughly 18 more participant(s) on this test to reach a reliable read."
P002,NeuBisc Biscuits,biscuits,NeuBisc Biscuits_promotional_badge,promotional_badge,No clear winner,,Low,5,4,B,Without Extra Offer,16.0,"'NeuBisc Biscuits_promotional_badge': not statistically significant yet (n_a=5, n_b=4). Currently trending toward 'Without Extra Offer' — too early to act on. Collect roughly 16 more participant(s) on this test to reach a reliable read."
P019,Neuinsta Geki Spicy Chicken Ramen,instant_food,Neuinsta Geki Spicy Chicken Ramen_color,color,No clear winner,,Low,1,1,A,Black/Orange Packaging,19.0,"'Neuinsta Geki Spicy Chicken Ramen_color': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Black/Orange Packaging' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P020,Neuinsta Minute Khana Dal Makhani,instant_food,Neuinsta Minute Khana Dal Makhani_product_imagery_layout,product_imagery_layout,No clear winner,,Low,1,2,A,Large Bowl Image with Spoon (Left Side),19.0,"'Neuinsta Minute Khana Dal Makhani_product_imagery_layout': not statistically significant yet (n_a=1, n_b=2). Currently trending toward 'Large Bowl Image with Spoon (Left Side)' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P018,Neuinsta Poha (3 Minute Breakfast),instant_food,Neuinsta Poha (3 Minute Breakfast)_packaging_format,packaging_format,No clear winner,,Low,0,0,,,,'Neuinsta Poha (3 Minute Breakfast)_packaging_format': only one variant has data so far — need both A and B represented.
P021,Neuinsta Schezwan Instant Noodles,instant_food,Neuinsta Schezwan Instant Noodles_branding_design,branding_design,No clear winner,,Low,1,1,A,Bold Shadowed Logo Text,19.0,"'Neuinsta Schezwan Instant Noodles_branding_design': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Bold Shadowed Logo Text' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P022,Neuinsta Vegetable Upma (3 Minute Breakfast),instant_food,Neuinsta Vegetable Upma (3 Minute Breakfast)_product_tagline,product_tagline,No clear winner,,Low,1,2,B,Fast Breakfast,19.0,"'Neuinsta Vegetable Upma (3 Minute Breakfast)_product_tagline': not statistically significant yet (n_a=1, n_b=2). Currently trending toward 'Fast Breakfast' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P025,Orange Juice (Generic),beverages,Orange Juice (Generic)_price_display,price_display,No clear winner,,Low,1,1,A,No Price Shown on Pack,19.0,"'Orange Juice (Generic)_price_display': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'No Price Shown on Pack' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P012,Sliced Chips,chips,Sliced Chips_color_and_branding,color_and_branding,No clear winner,,Low,0,0,,,,'Sliced Chips_color_and_branding': only one variant has data so far — need both A and B represented.
P013,Tomato Treat,namkeen,Tomato Treat_packaging_claims,packaging_claims,No clear winner,,Low,1,1,A,Simple Design,19.0,"'Tomato Treat_packaging_claims': not statistically significant yet (n_a=1, n_b=1). Currently trending toward 'Simple Design' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P016,VitaFresh Orange,beverages,VitaFresh Orange_packaging_transparency,packaging_transparency,No clear winner,,Low,3,1,A,Opaque Bottle (Product Not Visible),19.0,"'VitaFresh Orange_packaging_transparency': not statistically significant yet (n_a=3, n_b=1). Currently trending toward 'Opaque Bottle (Product Not Visible)' — too early to act on. Collect roughly 19 more participant(s) on this test to reach a reliable read."
P015,Zigzag Snacks,namkeen,Zigzag Snacks_packaging_format,packaging_format,No clear winner,,Low,0,0,,,,'Zigzag Snacks_packaging_format': only one variant has data so far — need both A and B represented.
