product_id,product_name,category,action_bucket,attribute_changed,recommended_value,confidence,n_a,n_b,sentence
P004,Milk Chocolate,chocolate,consider,packaging_transparency,Transparent Product Window,Medium,2,2,Use packaging with: Transparent Product Window.
P024,100% Pure Orange Juice (32oz),beverages,collecting_data,price_discount,Rs60 Struck-through Discounted to Rs45,Low,2,1,"Price Discount: trending toward 'Rs60 Struck-through Discounted to Rs45' (n_a=2, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P010,Aloo Bhujia,namkeen,collecting_data,packaging_format,,Low,0,0,"Packaging Format: no data or no directional signal yet (n_a=0, n_b=0)."
P023,Apple Juice,beverages,collecting_data,overall_packaging_redesign,Nature's Goodness - Plastic Bottle 500ml From Concentrate,Low,2,1,"Overall Packaging Redesign: trending toward 'Nature's Goodness - Plastic Bottle 500ml From Concentrate' (n_a=2, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P011,Butter Chakli,namkeen,collecting_data,packaging_material,,Low,0,0,"Packaging Material: no data or no directional signal yet (n_a=0, n_b=0)."
P003,Cacao Symphony,chocolate,collecting_data,health_claims_badges,With Claims (Less Sugar No Artificial Colors Cocoa Rich),Low,1,1,"Health Claims Badges: trending toward 'With Claims (Less Sugar No Artificial Colors Cocoa Rich)' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P005,Choco Candy,chocolate,collecting_data,price_discount,Rs59 Discounted Price,Low,1,2,"Price Discount: trending toward 'Rs59 Discounted Price' (n_a=1, n_b=2) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P006,Choco Lyra,chocolate,collecting_data,packaging_format,Bar Format,Low,2,2,"Packaging Format: trending toward 'Bar Format' (n_a=2, n_b=2) — not yet statistically significant, do not act on this yet. Collect ~18 more participants for a reliable read."
P007,Cocoa Bliss,chocolate,collecting_data,pack_format,Six Individually Wrapped Bars,Low,2,1,"Pack Format: trending toward 'Six Individually Wrapped Bars' (n_a=2, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P007,Cocoa Bliss,chocolate,collecting_data,packaging_finish,Matte Finish,Low,1,1,"Packaging Finish: trending toward 'Matte Finish' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P008,Dark Choco,chocolate,collecting_data,background_theme,Natural Rustic Theme (Beige),Low,1,1,"Background Theme: trending toward 'Natural Rustic Theme (Beige)' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P017,FreshVibe Peach,beverages,collecting_data,naming_and_size,"Peach Delight, 500ml",Low,2,1,"Naming And Size: trending toward 'Peach Delight, 500ml' (n_a=2, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P009,Golden Crisp Chips,chips,collecting_data,branding_design,Basic Salted Chips (No Branding),Low,1,1,"Branding Design: trending toward 'Basic Salted Chips (No Branding)' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P001,Lemon Bhujia,namkeen,collecting_data,packaging_format,Lemon Bhujia Pouch,Low,1,1,"Packaging Format: trending toward 'Lemon Bhujia Pouch' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P026,Mango Juice,beverages,collecting_data,overall_packaging_redesign,,Low,0,0,"Overall Packaging Redesign: no data or no directional signal yet (n_a=0, n_b=0)."
P014,Masala Wafer,chips,collecting_data,color,,Low,0,0,"Color: no data or no directional signal yet (n_a=0, n_b=0)."
P002,NeuBisc Biscuits,biscuits,collecting_data,color,Orange Packaging,Low,5,3,"Color: trending toward 'Orange Packaging' (n_a=5, n_b=3) — not yet statistically significant, do not act on this yet. Collect ~17 more participants for a reliable read."
P002,NeuBisc Biscuits,biscuits,collecting_data,packaging_format,Choco Chip Cookies Pack,Low,4,1,"Packaging Format: trending toward 'Choco Chip Cookies Pack' (n_a=4, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P002,NeuBisc Biscuits,biscuits,collecting_data,product_flavor,NeuBisc Chocolate Cookies,Low,3,2,"Product Flavor: trending toward 'NeuBisc Chocolate Cookies' (n_a=3, n_b=2) — not yet statistically significant, do not act on this yet. Collect ~18 more participants for a reliable read."
P002,NeuBisc Biscuits,biscuits,collecting_data,product_imagery_vs_info,With Net Weight 200g Shown (No Photos),Low,4,2,"Product Imagery Vs Info: trending toward 'With Net Weight 200g Shown (No Photos)' (n_a=4, n_b=2) — not yet statistically significant, do not act on this yet. Collect ~18 more participants for a reliable read."
P002,NeuBisc Biscuits,biscuits,collecting_data,promotional_badge,Without Extra Offer,Low,5,4,"Promotional Badge: trending toward 'Without Extra Offer' (n_a=5, n_b=4) — not yet statistically significant, do not act on this yet. Collect ~16 more participants for a reliable read."
P019,Neuinsta Geki Spicy Chicken Ramen,instant_food,collecting_data,color,Black/Orange Packaging,Low,1,1,"Color: trending toward 'Black/Orange Packaging' (n_a=1, n_b=1) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
P020,Neuinsta Minute Khana Dal Makhani,instant_food,collecting_data,product_imagery_layout,Large Bowl Image with Spoon (Left Side),Low,1,2,"Product Imagery Layout: trending toward 'Large Bowl Image with Spoon (Left Side)' (n_a=1, n_b=2) — not yet statistically significant, do not act on this yet. Collect ~19 more participants for a reliable read."
